model,label,aggregation,sample,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
lyriclens,violence,q90,core_180,180,0.0004991397727280855,0.999237060546875,0.1987226848343077,0.007191936019808054,0.3703490310197287,0.0012416727608069778,0.003428831131896004,0.05337869469076395,0.9969440966844558,0,0,108,25
lyriclens,substance,mean,all_200,200,0.0003945846692658961,0.999404788017273,0.23456611997040455,0.006828123005107045,0.4026510641794849,0.0010178715368965642,0.0028177162748761475,0.16035766527056694,0.9966511279344559,0,0,121,28
lyriclens,substance,mean,core_180,180,0.0003945846692658961,0.999404788017273,0.2156740299749395,0.006741397548466921,0.3881818261910223,0.0009555124299367892,0.0028006999637000263,0.09952283650636673,0.9954043924808502,0,0,113,20
lyriclens,substance,token_weighted_mean,all_200,200,0.0003945846692658961,0.999404788017273,0.2345663765600294,0.006828123005107045,0.4026517061023981,0.0010178715368965642,0.0028177162748761475,0.16035766527056694,0.9966511279344559,0,0,121,28
lyriclens,substance,token_weighted_mean,core_180,180,0.0003945846692658961,0.999404788017273,0.2156743150745227,0.006741397548466921,0.3881825803905162,0.0009555124299367892,0.0028006999637000263,0.09952283650636673,0.9954043924808502,0,0,113,20
lyriclens,substance,max,all_200,200,0.0003945846692658961,0.999404788017273,0.23509622632118407,0.006828123005107045,0.40328064009315334,0.0010178715368965642,0.0028177162748761475,0.16035766527056694,0.9966511279344559,0,0,121,28
lyriclens,substance,max,core_180,180,0.0003945846692658961,0.999404788017273,0.2162630370313612,0.006741397548466921,0.3889364500355987,0.0009555124299367892,0.0028006999637000263,0.10153738223016262,0.9954043924808502,0,0,113,20
lyriclens,substance,q90,all_200,200,0.0003945846692658961,0.999404788017273,0.23499020505102816,0.006828123005107045,0.4031476953881443,0.0010178715368965642,0.0028177162748761475,0.16035766527056694,0.9966511279344559,0,0,121,28
lyriclens,substance,q90,core_180,180,0.0003945846692658961,0.999404788017273,0.21614523562007687,0.006741397548466921,0.38877745515840323,0.0009555124299367892,0.0028006999637000263,0.09952283650636673,0.9954043924808502,0,0,113,20
lyriclens,explicit_language,mean,all_200,200,0.0007651577470824122,0.9996194839477539,0.2841047653724672,0.02467731386423111,0.40445696339572945,0.0017649200395680967,0.0045749632408842444,0.6198359280824661,0.9973509073257446,0,0,84,37
lyriclens,explicit_language,mean,core_180,180,0.0007651577470824122,0.9996194839477539,0.25923248976404367,0.019112030044198036,0.38998832937185335,0.0015070665103849026,0.004502118448726833,0.42041753232479095,0.9973509073257446,0,0,79,30
lyriclens,explicit_language,token_weighted_mean,all_200,200,0.0007651577470824122,0.9996194839477539,0.28410476414509284,0.02467731386423111,0.40445696336046205,0.0017649200395680967,0.0045749632408842444,0.6198359280824661,0.9973509073257446,0,0,84,37
lyriclens,explicit_language,token_weighted_mean,core_180,180,0.0007651577470824122,0.9996194839477539,0.25923248840029434,0.019112030044198036,0.3899883292437292,0.0015070665103849026,0.004502118448726833,0.42041753232479095,0.9973509073257446,0,0,79,30
lyriclens,explicit_language,max,all_200,200,0.0007651577470824122,0.9996194839477539,0.28410603480238933,0.02467731386423111,0.404457020006077,0.0017649200395680967,0.0045749632408842444,0.6198359280824661,0.9973509073257446,0,0,84,37
lyriclens,explicit_language,max,core_180,180,0.0007651577470824122,0.9996194839477539,0.25923390024173487,0.019112030044198036,0.38998848510056205,0.0015070665103849026,0.004502118448726833,0.42041753232479095,0.9973509073257446,0,0,79,30
lyriclens,explicit_language,q90,all_200,200,0.0007651577470824122,0.9996194839477539,0.2841057809164049,0.02467731386423111,0.40445700864207784,0.0017649200395680967,0.0045749632408842444,0.6198359280824661,0.9973509073257446,0,0,84,37
lyriclens,explicit_language,q90,core_180,180,0.0007651577470824122,0.9996194839477539,0.2592336181461966,0.019112030044198036,0.38998845390652165,0.0015070665103849026,0.004502118448726833,0.42041753232479095,0.9973509073257446,0,0,79,30
detoxify,toxicity,mean,all_200,200,0.00035254747490398586,0.9952962398529053,0.2118174407040351,0.036916354671120644,0.3196241966947921,0.001037886472477112,0.004822167218662798,0.27598160319030285,0.9587076693773268,0,0,71,3
detoxify,toxicity,mean,core_180,180,0.00035254747490398586,0.9952962398529053,0.19709387078171992,0.036916354671120644,0.30156788083452324,0.001037886472477112,0.00484805041924119,0.25248774141073227,0.931272479891777,0,0,65,1
detoxify,toxicity,token_weighted_mean,all_200,200,0.00035254747490398586,0.9952962398529053,0.21181816208546694,0.03692451545715443,0.3196222645509574,0.001037886472477112,0.004822167218662798,0.2762633508567774,0.9587067330534798,0,0,71,3
detoxify,toxicity,token_weighted_mean,core_180,180,0.00035254747490398586,0.9952962398529053,0.19709742057006707,0.03692451545715443,0.30156879823289096,0.001037886472477112,0.00484805041924119,0.25248774141073227,0.9312748428137366,0,0,65,1
detoxify,toxicity,max,all_200,200,0.00035254747490398586,0.996401309967041,0.23460664795406047,0.03994659334421158,0.33934524267040583,0.0011385964462533595,0.004984081839211285,0.33170026540756226,0.9807992696762085,0,0,69,5
detoxify,toxicity,max,core_180,180,0.00035254747490398586,0.996401309967041,0.2192589104975923,0.03994659334421158,0.32165447762821775,0.0011385964462533595,0.005074906046502292,0.3174719288945198,0.9667485028505325,0,0,63,2
detoxify,toxicity,q90,all_200,200,0.00035254747490398586,0.9963083744049073,0.2301230415783939,0.03955919332802296,0.33491639381336197,0.0011385964462533595,0.004969805711880326,0.3177397921332158,0.9782895776629448,0,0,70,4
detoxify,toxicity,q90,core_180,180,0.00035254747490398586,0.9963083744049073,0.21490806856457817,0.03955919332802296,0.3173041287857732,0.0011385964462533595,0.005074906046502292,0.2927343820221722,0.9601295578479766,0,0,64,1
