primary_genre,classifier,paired_rolling_endpoints,mean_absolute_difference,max_absolute_difference,mean_signed_difference,equal_weight_endpoint_change,rank_weighted_endpoint_change
Electronic / Dance,ll_explicit_language,92,0.01644895721,0.04892830024,-0.003015783136,0.1330422062,0.1524590708
Electronic / Dance,ll_sexual_content,92,0.02059443514,0.1176209975,-0.01152550163,-0.1514687578,-0.1670868028
Electronic / Dance,ll_substance_use,92,0.02294452596,0.06866041638,-8.021566394e-05,0.3579703674,0.3914764246
Electronic / Dance,ll_violence,92,0.0169826534,0.05621390173,-0.001861843413,0.05811596557,0.06431595281
Electronic / Dance,sentiment_negative,92,0.004722651096,0.02021431026,-0.001446915351,0.05064722339,0.05869407081
Electronic / Dance,sentiment_neutral,92,0.002837238073,0.01249970085,-0.0001243476029,-0.003715765793,-0.0002831527617
Electronic / Dance,sentiment_positive,92,0.002931802953,0.014789265,0.001571261762,-0.04693146067,-0.05841092637
Folk / Singer-Songwriter,detox_identity_attack,0,,,,,
Folk / Singer-Songwriter,detox_insult,0,,,,,
Folk / Singer-Songwriter,detox_obscene,0,,,,,
Folk / Singer-Songwriter,detox_severe_toxicity,0,,,,,
Folk / Singer-Songwriter,detox_sexual_explicit,0,,,,,
Folk / Singer-Songwriter,detox_threat,0,,,,,
Folk / Singer-Songwriter,detox_toxicity,0,,,,,
Folk / Singer-Songwriter,emotion_admiration,0,,,,,
Folk / Singer-Songwriter,emotion_amusement,0,,,,,
Folk / Singer-Songwriter,emotion_anger,0,,,,,
Folk / Singer-Songwriter,emotion_annoyance,0,,,,,
Folk / Singer-Songwriter,emotion_approval,0,,,,,
Folk / Singer-Songwriter,emotion_caring,0,,,,,
Folk / Singer-Songwriter,emotion_confusion,0,,,,,
Folk / Singer-Songwriter,emotion_curiosity,0,,,,,
Folk / Singer-Songwriter,emotion_desire,0,,,,,
Folk / Singer-Songwriter,emotion_disappointment,0,,,,,
Folk / Singer-Songwriter,emotion_disapproval,0,,,,,
