primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
Metal,emotion_annoyance,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_approval,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_caring,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_confusion,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_curiosity,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_desire,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_disappointment,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_disapproval,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_disgust,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_embarrassment,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_excitement,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_fear,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_gratitude,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_grief,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_joy,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_love,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_nervousness,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_neutral,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_optimism,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_pride,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_realization,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_relief,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_remorse,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_sadness,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_surprise,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,ll_explicit_language,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,ll_sexual_content,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,ll_substance_use,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,ll_violence,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,sentiment_negative,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,sentiment_neutral,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,sentiment_positive,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Other,detox_identity_attack,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_insult,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_obscene,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_severe_toxicity,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_sexual_explicit,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_threat,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,detox_toxicity,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_admiration,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_amusement,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_anger,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_annoyance,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_approval,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_caring,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_confusion,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_curiosity,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_desire,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_disappointment,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_disapproval,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_disgust,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_embarrassment,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_excitement,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_fear,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_gratitude,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_grief,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_joy,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_love,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_nervousness,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_neutral,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_optimism,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_pride,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_realization,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_relief,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_remorse,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_sadness,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,emotion_surprise,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,ll_explicit_language,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,ll_sexual_content,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,ll_substance_use,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,ll_violence,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,sentiment_negative,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,sentiment_neutral,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Other,sentiment_positive,818,441,162,809,98.8997555,368,97.6127321,9,0,False
Pop,detox_identity_attack,818,0,0,0,0,0,0,818,807,True
Pop,detox_insult,818,0,0,0,0,0,0,818,807,True
