primary_genre,classifier,valid_rolling_endpoints,earliest_month,earliest_mean,earliest_window_n,earliest_min_monthly_n,latest_month,latest_mean,latest_window_n,latest_min_monthly_n,minimum_month,minimum_mean,minimum_window_n,minimum_min_monthly_n,maximum_month,maximum_mean,maximum_window_n,maximum_min_monthly_n,latest_minus_earliest,rolling_range
Alternative / Indie,emotion_sadness,87,1983-08,0.1147519369,69,5,2014-08,0.05473465832,89,5,2000-05,0.04154037964,98,5,2013-04,0.1805722285,86,5,-0.06001727858,0.1390318488
Alternative / Indie,emotion_surprise,87,1983-08,0.009271241109,69,5,2014-08,0.01605544926,89,5,1994-08,0.003680337799,107,6,1998-11,0.04637770792,75,5,0.006784208151,0.04269737012
Alternative / Indie,ll_explicit_language,87,1983-08,0.04826600795,69,5,2014-08,0.08898121152,89,5,1983-10,0.04485900205,72,5,2013-04,0.5517987055,86,5,0.04071520357,0.5069397034
Alternative / Indie,ll_sexual_content,87,1983-08,0.2598889092,69,5,2014-08,0.2483098095,89,5,2000-02,0.2422652306,105,7,1998-10,0.4742168137,78,5,-0.01157909966,0.2319515831
Alternative / Indie,ll_substance_use,87,1983-08,0.2879671307,69,5,2014-08,0.08363678238,89,5,2003-02,0.03496680754,80,5,1998-02,0.4716621795,98,6,-0.2043303483,0.436695372
Alternative / Indie,ll_violence,87,1983-08,0.2091454609,69,5,2014-08,0.4022488202,89,5,1996-12,0.1080672934,133,6,2013-12,0.6125021103,86,6,0.1931033593,0.5044348168
Alternative / Indie,sentiment_negative,87,1983-08,0.2945811935,69,5,2014-08,0.267278262,89,5,2014-08,0.267278262,89,5,2007-02,0.3350806132,110,5,-0.02730293147,0.0678023512
Alternative / Indie,sentiment_neutral,87,1983-08,0.409340789,69,5,2014-08,0.4075225783,89,5,2014-01,0.3939320043,84,6,2003-05,0.4257613601,81,5,-0.001818210668,0.03182935579
Alternative / Indie,sentiment_positive,87,1983-08,0.2960780216,69,5,2014-08,0.3251991628,89,5,1995-02,0.2643495578,117,6,2014-02,0.3369192672,83,6,0.02912114118,0.07256970933
Country,detox_identity_attack,355,1960-11,0.003043273417,93,6,2026-09,0.003196325509,255,15,1982-05,0.0007425512806,88,5,1973-11,0.01306779356,114,6,0.0001530520921,0.01232524228
Country,detox_insult,355,1960-11,0.01306499493,93,6,2026-09,0.01568634765,255,15,2016-12,0.006898626675,174,12,2010-08,0.05256925522,245,18,0.002621352717,0.04567062855
Country,detox_obscene,355,1960-11,0.001166913573,93,6,2026-09,0.05937298008,255,15,1961-01,0.001087106139,87,5,2024-05,0.1798648786,260,14,0.05820606651,0.1787777724
Country,detox_severe_toxicity,355,1960-11,2.97905629e-05,93,6,2026-09,0.0003752250778,255,15,1981-04,2.432195651e-05,95,6,2024-03,0.0006212273228,268,14,0.0003454345149,0.0005969053663
Country,detox_sexual_explicit,355,1960-11,0.0007775591249,93,6,2026-09,0.003730857182,255,15,1961-01,0.0005778443528,87,5,2010-01,0.02203945349,262,18,0.002953298057,0.02146160914
Country,detox_threat,355,1960-11,0.004151058745,93,6,2026-09,0.002608089749,255,15,1974-07,0.0002435508351,112,6,2024-08,0.01870067216,275,14,-0.001542968996,0.01845712133
